timestamp,serial,event_type,old_value,new_value,details
2026-09-13 12:33:11,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:33:11,52000a84b2b21305,ADB_CONNECTED,,,
2026-09-13 12:33:12,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:33:12,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:33:43,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:33:43,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:33:43,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:34:14,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:34:14,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:34:45,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:34:45,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:35:09,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:35:09,52000a84b2b21305,ADB_CONNECTED,,,
2026-09-13 12:35:10,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:35:11,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:35:41,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:35:41,52000a84b2b21305,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:35:42,R5CR303YMGD,COLLECTION_ERROR,,,28 values for 27 columns
2026-09-13 12:37:58,52000a84b2b21305,ADB_CONNECTED,,,
2026-09-13 12:37:58,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:39:00,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:39:31,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 12:40:01,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:40:33,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:41:04,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:41:36,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:41:36,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
